Image Name,Cluster Label
92.jpg,1
32.jpg,0
38.jpg,1
19.jpg,1
36.jpg,1
51.jpg,1
118.jpg,1
129.jpg,1
125.jpg,1
89.jpg,1
107.jpg,1
120.jpg,1
91.jpg,1
75.jpg,1
26.jpg,1
50.jpg,1
80.jpg,1
55.jpg,1
67.jpg,1
93.jpg,1
12.jpg,0
117.jpg,1
14.jpg,1
34.jpg,1
3.jpg,1
46.jpg,1
7.jpg,1
39.jpg,1
82.jpg,1
77.jpg,1
87.jpg,0
106.jpg,1
25.jpg,0
76.jpg,1
85.jpg,1
72.jpg,1
20.jpg,1
81.jpg,0
104.jpg,1
115.jpg,1
35.jpg,0
47.jpg,1
23.jpg,1
29.jpg,1
40.jpg,1
59.jpg,0
102.jpg,1
70.jpg,1
60.jpg,1
30.jpg,1
52.jpg,1
49.jpg,1
65.jpg,1
4.jpg,1
124.jpg,0
114.jpg,1
538.jpg,1
112.jpg,0
69.jpg,0
126.jpg,0
42.jpg,1
86.jpg,0
100.jpg,1
62.jpg,1
110.jpg,1
111.jpg,1
101.jpg,1
64.jpg,1
17.jpg,1
53.jpg,1
43.jpg,1
99.jpg,0
41.jpg,0
108.jpg,1
121.jpg,0
58.jpg,1
66.jpg,1
109.jpg,1
79.jpg,1
33.jpg,1
56.jpg,1
519.jpg,0
128.jpg,1
22.jpg,1
73.jpg,1
96.jpg,1
113.jpg,1
78.jpg,1
48.jpg,0
116.jpg,1
68.jpg,1
94.jpg,1
13.jpg,0
123.jpg,0
28.jpg,1
103.jpg,1
6.jpg,1
24.jpg,0
21.jpg,1
27.jpg,0
1407.jpg,1
1483.jpg,1
1450.jpg,0
1467.jpg,0
1408.jpg,1
1385.jpg,1
1492.jpg,1
1458.jpg,0
1479.jpg,0
1468.jpg,0
1439.jpg,0
1455.jpg,0
1398.jpg,1
1406.jpg,1
1465.jpg,1
1463.jpg,1
1471.jpg,0
1494.jpg,1
1448.jpg,0
1477.jpg,0
1412.jpg,1
1416.jpg,1
1475.jpg,0
1415.jpg,1
1481.jpg,0
1387.jpg,1
1498.jpg,1
1433.jpg,0
1410.jpg,0
1423.jpg,1
1420.jpg,1
1390.jpg,1
1404.jpg,1
1452.jpg,0
1435.jpg,0
1446.jpg,0
1454.jpg,0
1419.jpg,1
1393.jpg,1
1405.jpg,0
1466.jpg,1
1429.jpg,0
1388.jpg,1
1476.jpg,1
1400.jpg,1
1480.jpg,0
1394.jpg,0
1473.jpg,0
1478.jpg,0
1460.jpg,1
1396.jpg,1
1488.jpg,0
1442.jpg,1
1428.jpg,0
1493.jpg,1
1469.jpg,1
1413.jpg,1
1472.jpg,0
1437.jpg,1
1386.jpg,0
1456.jpg,0
1487.jpg,0
1457.jpg,0
1470.jpg,1
1490.jpg,1
1491.jpg,0
1459.jpg,0
1485.jpg,0
1381.jpg,0
1411.jpg,1
1440.jpg,1
1377.jpg,1
1424.jpg,0
1453.jpg,0
1449.jpg,1
1414.jpg,1
1431.jpg,0
1434.jpg,1
1397.jpg,1
1474.jpg,1
1500.jpg,1
1497.jpg,1
1482.jpg,1
1426.jpg,1
1486.jpg,1
1462.jpg,1
1432.jpg,0
1445.jpg,0
1418.jpg,1
1389.jpg,1
1421.jpg,1
1399.jpg,1
1403.jpg,1
1409.jpg,0
1441.jpg,0
1384.jpg,0
1444.jpg,1
1391.jpg,0
1496.jpg,1
1392.jpg,0
